Specimen_ID	water	transplant	IN	specimen	mouse	cage	timepoint
plain_BMT_none____Feces__029_F_02	plain	BMT	none	Feces	29	F	2
plain_BMT_none____Feces__030_F_02	plain	BMT	none	Feces	30	F	2
plain_BMT_none____Feces__040_F_03	plain	BMT	none	Feces	40	F	3
plain_BMT_none____Feces__041_F_03	plain	BMT	none	Feces	41	F	3
plain_BMT_none____Feces__042_F_03	plain	BMT	none	Feces	42	F	3
plain_BMT_none____Feces__052_F_05	plain	BMT	none	Feces	52	F	5
plain_BMT_none____Feces__053_F_05	plain	BMT	none	Feces	53	F	5
plain_BMT_none____Feces__054_F_05	plain	BMT	none	Feces	54	F	5
plain_BMT_none____Feces__064_F_07	plain	BMT	none	Feces	64	F	7
plain_BMT_none____Feces__065_F_07	plain	BMT	none	Feces	65	F	7
plain_BMT_none____Feces__066_F_07	plain	BMT	none	Feces	66	F	7
acid__BMT_none____Feces__091_G_28	acid	BMT	none	Feces	91	G	28
acid__BMT_none____Feces__092_G_28	acid	BMT	none	Feces	92	G	28
acid__BMT_none____Feces__093_G_28	acid	BMT	none	Feces	93	G	28
acid__BMT_none____Feces__097_G_35	acid	BMT	none	Feces	97	G	35
acid__BMT_none____Feces__098_G_35	acid	BMT	none	Feces	98	G	35
acid__BMT_none____Feces__099_G_35	acid	BMT	none	Feces	99	G	35
acid__BMT_none____Lung___097_G_35	acid	BMT	none	Lung	97	G	35
acid__BMT_none____Lung___098_G_35	acid	BMT	none	Lung	98	G	35
acid__BMT_none____Lung___099_G_35	acid	BMT	none	Lung	99	G	35
acid__BMT_none____Tongue_097_G_35	acid	BMT	none	Tongue	97	G	35
acid__BMT_none____Tongue_098_G_35	acid	BMT	none	Tongue	98	G	35
acid__BMT_none____Tongue_099_G_35	acid	BMT	none	Tongue	99	G	35
acid__BMT_none____Feces__094_H_28	acid	BMT	none	Feces	94	H	28
acid__BMT_none____Feces__095_H_28	acid	BMT	none	Feces	95	H	28
acid__BMT_none____Feces__096_H_28	acid	BMT	none	Feces	96	H	28
acid__BMT_none____Feces__100_H_35	acid	BMT	none	Feces	100	H	35
acid__BMT_none____Feces__101_H_35	acid	BMT	none	Feces	101	H	35
acid__BMT_none____Feces__102_H_35	acid	BMT	none	Feces	102	H	35
acid__BMT_none____Lung___100_H_35	acid	BMT	none	Lung	100	H	35
acid__BMT_none____Lung___101_H_35	acid	BMT	none	Lung	101	H	35
acid__BMT_none____Lung___102_H_35	acid	BMT	none	Lung	102	H	35
acid__BMT_none____Tongue_100_H_35	acid	BMT	none	Tongue	100	H	35
acid__BMT_none____Tongue_101_H_35	acid	BMT	none	Tongue	101	H	35
acid__BMT_none____Tongue_102_H_35	acid	BMT	none	Tongue	102	H	35
acid__BMT_saline__Feces__103_I_35	acid	BMT	saline	Feces	103	I	35
acid__BMT_saline__Feces__104_I_45	acid	BMT	saline	Feces	104	I	45
acid__BMT_saline__Feces__105_I_45	acid	BMT	saline	Feces	105	I	45
acid__BMT_saline__Feces__189_I_56	acid	BMT	saline	Feces	189	I	56
acid__BMT_saline__Feces__190_I_56	acid	BMT	saline	Feces	190	I	56
acid__BMT_saline__Feces__191_I_56	acid	BMT	saline	Feces	191	I	56
acid__BMT_saline__Lung___189_I_56	acid	BMT	saline	Lung	189	I	56
acid__BMT_saline__Lung___190_I_56	acid	BMT	saline	Lung	190	I	56
acid__BMT_saline__Lung___191_I_56	acid	BMT	saline	Lung	191	I	56
acid__BMT_saline__Tongue_189_I_56	acid	BMT	saline	Tongue	189	I	56
acid__BMT_saline__Tongue_190_I_56	acid	BMT	saline	Tongue	190	I	56
acid__BMT_saline__Tongue_191_I_56	acid	BMT	saline	Tongue	191	I	56
acid__BMT_saline__Feces__106_J_45	acid	BMT	saline	Feces	106	J	45
acid__BMT_saline__Feces__107_J_45	acid	BMT	saline	Feces	107	J	45
acid__BMT_saline__Feces__192_J_56	acid	BMT	saline	Feces	192	J	56
acid__BMT_saline__Feces__193_J_56	acid	BMT	saline	Feces	193	J	56
acid__BMT_saline__Lung___192_J_56	acid	BMT	saline	Lung	192	J	56
acid__BMT_saline__Lung___193_J_56	acid	BMT	saline	Lung	193	J	56
acid__BMT_saline__Tongue_192_J_56	acid	BMT	saline	Tongue	192	J	56
acid__BMT_saline__Tongue_193_J_56	acid	BMT	saline	Tongue	193	J	56
acid__BMT_MHV_____Feces__115_M_35	acid	BMT	MHV	Feces	115	M	35
acid__BMT_MHV_____Feces__116_M_45	acid	BMT	MHV	Feces	116	M	45
acid__BMT_MHV_____Feces__117_M_45	acid	BMT	MHV	Feces	117	M	45
acid__BMT_MHV_____Feces__195_M_56	acid	BMT	MHV	Feces	195	M	56
acid__BMT_MHV_____Feces__196_M_56	acid	BMT	MHV	Feces	196	M	56
acid__BMT_MHV_____Feces__197_M_56	acid	BMT	MHV	Feces	197	M	56
acid__BMT_MHV_____Lung___195_M_56	acid	BMT	MHV	Lung	195	M	56
acid__BMT_MHV_____Lung___196_M_56	acid	BMT	MHV	Lung	196	M	56
acid__BMT_MHV_____Lung___197_M_56	acid	BMT	MHV	Lung	197	M	56
acid__BMT_MHV_____Tongue_195_M_56	acid	BMT	MHV	Tongue	195	M	56
acid__BMT_MHV_____Tongue_196_M_56	acid	BMT	MHV	Tongue	196	M	56
acid__BMT_MHV_____Tongue_197_M_56	acid	BMT	MHV	Tongue	197	M	56
acid__BMT_MHV_____Feces__118_N_45	acid	BMT	MHV	Feces	118	N	45
acid__BMT_MHV_____Feces__119_N_45	acid	BMT	MHV	Feces	119	N	45
acid__BMT_MHV_____Feces__120_N_45	acid	BMT	MHV	Feces	120	N	45
acid__BMT_MHV_____Feces__198_N_56	acid	BMT	MHV	Feces	198	N	56
acid__BMT_MHV_____Feces__199_N_56	acid	BMT	MHV	Feces	199	N	56
acid__BMT_MHV_____Feces__200_N_56	acid	BMT	MHV	Feces	200	N	56
acid__BMT_MHV_____Lung___198_N_56	acid	BMT	MHV	Lung	198	N	56
acid__BMT_MHV_____Lung___199_N_56	acid	BMT	MHV	Lung	199	N	56
acid__BMT_MHV_____Lung___200_N_56	acid	BMT	MHV	Lung	200	N	56
acid__BMT_MHV_____Tongue_198_N_56	acid	BMT	MHV	Tongue	198	N	56
acid__BMT_MHV_____Tongue_199_N_56	acid	BMT	MHV	Tongue	199	N	56
acid__BMT_MHV_____Tongue_200_N_56	acid	BMT	MHV	Tongue	200	N	56
acid__CTL_saline__Feces__127_Q_35	acid	CTL	saline	Feces	127	Q	35
acid__CTL_saline__Feces__128_Q_45	acid	CTL	saline	Feces	128	Q	45
acid__CTL_saline__Feces__129_Q_45	acid	CTL	saline	Feces	129	Q	45
acid__CTL_saline__Feces__201_Q_56	acid	CTL	saline	Feces	201	Q	56
acid__CTL_saline__Feces__202_Q_56	acid	CTL	saline	Feces	202	Q	56
acid__CTL_saline__Feces__203_Q_56	acid	CTL	saline	Feces	203	Q	56
acid__CTL_saline__Lung___201_Q_56	acid	CTL	saline	Lung	201	Q	56
acid__CTL_saline__Lung___202_Q_56	acid	CTL	saline	Lung	202	Q	56
acid__CTL_saline__Lung___203_Q_56	acid	CTL	saline	Lung	203	Q	56
acid__CTL_saline__Tongue_201_Q_56	acid	CTL	saline	Tongue	201	Q	56
acid__CTL_saline__Tongue_202_Q_56	acid	CTL	saline	Tongue	202	Q	56
acid__CTL_saline__Tongue_203_Q_56	acid	CTL	saline	Tongue	203	Q	56
acid__CTL_saline__Feces__130_R_45	acid	CTL	saline	Feces	130	R	45
acid__CTL_saline__Feces__131_R_45	acid	CTL	saline	Feces	131	R	45
acid__CTL_saline__Feces__132_R_45	acid	CTL	saline	Feces	132	R	45
acid__CTL_saline__Feces__204_R_56	acid	CTL	saline	Feces	204	R	56
acid__CTL_saline__Feces__205_R_56	acid	CTL	saline	Feces	205	R	56
acid__CTL_saline__Feces__206_R_56	acid	CTL	saline	Feces	206	R	56
acid__CTL_saline__Lung___204_R_56	acid	CTL	saline	Lung	204	R	56
acid__CTL_saline__Lung___205_R_56	acid	CTL	saline	Lung	205	R	56
acid__CTL_saline__Lung___206_R_56	acid	CTL	saline	Lung	206	R	56
acid__CTL_saline__Tongue_204_R_56	acid	CTL	saline	Tongue	204	R	56
acid__CTL_saline__Tongue_205_R_56	acid	CTL	saline	Tongue	205	R	56
acid__CTL_saline__Tongue_206_R_56	acid	CTL	saline	Tongue	206	R	56
acid__CTL_MHV_____Feces__177_U_35	acid	CTL	MHV	Feces	177	U	35
acid__CTL_MHV_____Feces__178_U_45	acid	CTL	MHV	Feces	178	U	45
acid__CTL_MHV_____Feces__179_U_45	acid	CTL	MHV	Feces	179	U	45
acid__CTL_MHV_____Feces__207_U_56	acid	CTL	MHV	Feces	207	U	56
acid__CTL_MHV_____Feces__208_U_56	acid	CTL	MHV	Feces	208	U	56
acid__CTL_MHV_____Feces__209_U_56	acid	CTL	MHV	Feces	209	U	56
acid__CTL_MHV_____Lung___207_U_56	acid	CTL	MHV	Lung	207	U	56
acid__CTL_MHV_____Lung___208_U_56	acid	CTL	MHV	Lung	208	U	56
acid__CTL_MHV_____Lung___209_U_56	acid	CTL	MHV	Lung	209	U	56
acid__CTL_MHV_____Tongue_207_U_56	acid	CTL	MHV	Tongue	207	U	56
acid__CTL_MHV_____Tongue_208_U_56	acid	CTL	MHV	Tongue	208	U	56
acid__CTL_MHV_____Tongue_209_U_56	acid	CTL	MHV	Tongue	209	U	56
acid__CTL_MHV_____Feces__183_V_45	acid	CTL	MHV	Feces	183	V	45
acid__CTL_MHV_____Feces__184_V_45	acid	CTL	MHV	Feces	184	V	45
acid__CTL_MHV_____Feces__185_V_45	acid	CTL	MHV	Feces	185	V	45
acid__CTL_MHV_____Feces__210_V_56	acid	CTL	MHV	Feces	210	V	56
acid__CTL_MHV_____Feces__211_V_56	acid	CTL	MHV	Feces	211	V	56
acid__CTL_MHV_____Feces__212_V_56	acid	CTL	MHV	Feces	212	V	56
acid__CTL_MHV_____Lung___210_V_56	acid	CTL	MHV	Lung	210	V	56
acid__CTL_MHV_____Lung___211_V_56	acid	CTL	MHV	Lung	211	V	56
acid__CTL_MHV_____Lung___212_V_56	acid	CTL	MHV	Lung	212	V	56
acid__CTL_MHV_____Tongue_210_V_56	acid	CTL	MHV	Tongue	210	V	56
acid__CTL_MHV_____Tongue_211_V_56	acid	CTL	MHV	Tongue	211	V	56
acid__CTL_MHV_____Tongue_212_V_56	acid	CTL	MHV	Tongue	212	V	56
mock__XXX_XXXXXXX_XXXXXX_XXX_A_XX	mock	XXX	XXXXXXX	XXXXXX	XXX	A	XX
mock__XXX_XXXXXXX_XXXXXX_XXX_B_XX	mock	XXX	XXXXXXX	XXXXXX	XXX	B	XX
mock__XXX_XXXXXXX_XXXXXX_XXX_C_XX	mock	XXX	XXXXXXX	XXXXXX	XXX	C	XX
mock__XXX_XXXXXXX_XXXXXX_XXX_D_XX	mock	XXX	XXXXXXX	XXXXXX	XXX	D	XX
water_XXX_XXXXXXX_XXXXXX_XXX_A_XX	water	XXX	XXXXXXX	XXXXXX	XXX	A	XX
water_XXX_XXXXXXX_XXXXXX_XXX_B_XX	water	XXX	XXXXXXX	XXXXXX	XXX	B	XX
water_XXX_XXXXXXX_XXXXXX_XXX_C_XX	water	XXX	XXXXXXX	XXXXXX	XXX	C	XX
empty_XXX_XXXXXXX_XXXXXX_XXX_D_01	empty	XXX	XXXXXXX	XXXXXX	XXX	D	1
empty_XXX_XXXXXXX_XXXXXX_XXX_A_02	empty	XXX	XXXXXXX	XXXXXX	XXX	A	2
empty_XXX_XXXXXXX_XXXXXX_XXX_A_03	empty	XXX	XXXXXXX	XXXXXX	XXX	A	3
empty_XXX_XXXXXXX_XXXXXX_XXX_A_00	empty	XXX	XXXXXXX	XXXXXX	XXX	A	0
empty_XXX_XXXXXXX_XXXXXX_XXX_B_01	empty	XXX	XXXXXXX	XXXXXX	XXX	B	1
empty_XXX_XXXXXXX_XXXXXX_XXX_B_02	empty	XXX	XXXXXXX	XXXXXX	XXX	B	2
empty_XXX_XXXXXXX_XXXXXX_XXX_B_03	empty	XXX	XXXXXXX	XXXXXX	XXX	B	3
empty_XXX_XXXXXXX_XXXXXX_XXX_B_04	empty	XXX	XXXXXXX	XXXXXX	XXX	B	4
empty_XXX_XXXXXXX_XXXXXX_XXX_B_05	empty	XXX	XXXXXXX	XXXXXX	XXX	B	5
empty_XXX_XXXXXXX_XXXXXX_XXX_B_06	empty	XXX	XXXXXXX	XXXXXX	XXX	B	6
empty_XXX_XXXXXXX_XXXXXX_XXX_C_01	empty	XXX	XXXXXXX	XXXXXX	XXX	C	1
empty_XXX_XXXXXXX_XXXXXX_XXX_C_02	empty	XXX	XXXXXXX	XXXXXX	XXX	C	2
empty_XXX_XXXXXXX_XXXXXX_XXX_C_03	empty	XXX	XXXXXXX	XXXXXX	XXX	C	3
empty_XXX_XXXXXXX_XXXXXX_XXX_C_04	empty	XXX	XXXXXXX	XXXXXX	XXX	C	4
empty_XXX_XXXXXXX_XXXXXX_XXX_D_02	empty	XXX	XXXXXXX	XXXXXX	XXX	D	2
empty_XXX_XXXXXXX_XXXXXX_XXX_D_03	empty	XXX	XXXXXXX	XXXXXX	XXX	D	3
empty_XXX_XXXXXXX_XXXXXX_XXX_D_04	empty	XXX	XXXXXXX	XXXXXX	XXX	D	4
empty_XXX_XXXXXXX_XXXXXX_XXX_D_05	empty	XXX	XXXXXXX	XXXXXX	XXX	D	5
